C2	25.15	24.89	270.00	1uF	C1206
R19	13.21	8.13	90.00	4.7k	R1206
R20	18.29	8.13	90.00	4.7k	R1206
R21	20.83	8.13	90.00	4.7k	R1206
R22	23.37	8.13	90.00	4.7k	R1206
R23	27.94	8.13	90.00	4.7k	R1206
R24	30.48	8.13	90.00	4.7k	R1206
R25	33.02	8.13	90.00	4.7k	R1206
R26	8.13	8.13	90.00	4.7k	R1206
R27	5.59	8.13	90.00	4.7k	R1206
R28	3.05	8.13	90.00	4.7k	R1206
R3	15.75	8.13	90.00	4.7k	R1206
R4	10.67	8.13	90.00	4.7k	R1206
R7	14.73	36.32	180.00	4.7k	R1206
R8	22.10	36.32	180.00	4.7k	R1206
R9	8.64	36.32	0.00	47k	R1206
U$1	16.38	24.81	90.00	AT42QT2120-SU	SOIC20
